1,176851,3154308
2,176853,3154332
3,172969,3154922
4,3154923,223307
5,3154965,1155971
6,175220,3154985
7,3197409,4164814
8,2375052,943055
9,3154986,172971
10,175322,3156305
11,5700379,5700378
12,6085559,6085560
13,3163657,172972
14,3157945,223310
16,3158065,1175384
18,175329,3147141
19,6080694,6080693
20,3185268,1155838
22,3155984,956738
23,172973,3147263
24,175221,3169457
50,3153214,175262
52,3147285,960169
62,3171716,3153809
64,3171712,3171708
69,2465242,2459143
