Cmentarz Rakowicki,50.0742395,19.9574814,321458378,176853
Cmentarz Rakowicki,50.0729415,19.9560533,1445499305,176853
Rakowicka NŻ,50.0710117,19.9546241,2425780285,176853
Uniwersytet Ekonomiczny,50.0683711,19.9526646,2420233976,176853
Lubicz,50.0655639,19.9516840,2420233974,176853
Dworzec Główny,50.0646175,19.9456263,2420200260,176853
Stary Kleparz,50.0662984,19.9396881,2420153432,176853
Teatr Bagatela,50.0638069,19.9333775,470643346,176853
Filharmonia,50.0591774,19.9330989,2419367401,176853
Jubilat,50.0555563,19.9282001,2419720286,176853
Komorowskiego,50.0534121,19.9218144,2419720287,176853
Salwator,50.0528046,19.9136821,2419732952,176853
Salwator,50.0526245,19.9174019,4557118642,176853
