Borek Fałęcki,50.0130891,19.9270187,321429867,6080693
Borek Fałęcki I,50.0145601,19.9278252,2422538507,6080693
Solvay,50.0157663,19.9293893,2422550518,6080693
Sanktuarium Bożego Miłosierdzia,50.0223105,19.9327469,2422563492,6080693
Łagiewniki,50.0304747,19.9370237,2421489794,6080693
Rzemieślnicza,50.0328992,19.9383603,2421547630,6080693
Rondo Matecznego,50.0358614,19.9402834,2419790519,6080693
Smolki,50.0416410,19.9432459,2419790522,6080693
Korona,50.0435158,19.9465449,2065560164,6080693
Plac Bohaterów Getta,50.0466922,19.9550582,2419064241,6080693
Św. Wawrzyńca,50.0511125,19.9511319,2423056677,6080693
Miodowa,50.0532057,19.9488976,2419106061,6080693
Starowiślna,50.0573087,19.9461290,2420263459,6080693
Hala Targowa,50.0586520,19.9488829,2424088455,6080693
Rondo Grzegórzeckie,50.0584493,19.9592292,2431530708,6080693
Rondo Mogilskie,50.0660336,19.9586869,651848336,6080693
Dworzec Główny Tunel,50.0682455,19.9477349,276679066,6080693
Politechnika,50.0707439,19.9449088,2420153435,6080693
Dworzec Towarowy,50.0754771,19.9406605,4559858147,6080693
