Krowodrza Górka,50.0886756,19.9312467,257655889,175262
Bratysławska,50.0846959,19.9335828,652730396,175262
Szpital Narutowicza,50.0806532,19.9378802,652730395,175262
Dworzec Towarowy,50.0759415,19.9403138,2420286329,175262
Dworzec Główny Tunel,50.0682040,19.9477353,1888516300,175262
Politechnika,50.0707403,19.9448387,2424198631,175262
Rondo Mogilskie,50.0649129,19.9592821,1887802513,175262
Rondo Grzegórzeckie,50.0569182,19.9589469,2424076383,175262
Zabłocie,50.0496962,19.9651699,2431520663,175262
Klimeckiego,50.0489814,19.9675718,2431520653,175262
Kuklińskiego,50.0445695,19.9735435,1418995562,175262
Gromadzka,50.0406188,19.9781288,2255627362,175262
Lipska,50.0398131,19.9829640,3723474951,175262
Dworzec Płaszów Estakada,50.0335001,19.9770279,3723474950,175262
Kabel,50.0272989,19.9764746,1890503305,175262
Bieżanowska,50.0236404,19.9793901,2134334911,175262
Dauna,50.0184067,19.9775190,2134334912,175262
Piaski Nowe,50.0154830,19.9715857,2134334915,175262
Nowosądecka,50.0134761,19.9646822,624406882,175262
Witosa,50.0123437,19.9568375,289685344,175262
Kurdwanów,50.0136054,19.9504081,289685340,175262
