Nowy Bieżanów,50.0157031,20.0232538,287586332,2459143
Ćwiklińskiej,50.0159514,20.0200192,1951264400,2459143
Nowy Prokocim,50.0163114,20.0132092,1310458610,2459143
Teligi,50.0165006,20.0079316,1310458642,2459143
Prokocim Szpital,50.0145666,20.0001625,1310458632,2459143
Prokocim,50.0176811,19.9909193,1310458614,2459143
Wlotowa,50.0194846,19.9879318,622594608,2459143
Bieżanowska,50.0230990,19.9817019,622594618,2459143
Kabel,50.0266706,19.9771807,622594619,2459143
Dworcowa,50.0326846,19.9710558,3204607912,2459143
Cmentarz Podgórski,50.0386872,19.9649053,622594630,2459143
Powstańców Wielkopolskich,50.0418356,19.9614158,288916414,2459143
Plac Bohaterów Getta,50.0466922,19.9550582,2419064241,2459143
Św. Wawrzyńca,50.0511125,19.9511319,2423056677,2459143
Miodowa,50.0532057,19.9488976,2419106061,2459143
Starowiślna,50.0573091,19.9445456,2423003235,2459143
Poczta Główna,50.0592284,19.9425326,2424015724,2459143
Plac Wszystkich Świętych,50.0591291,19.9382410,2419768565,2459143
Filharmonia,50.0590323,19.9338703,2419768561,2459143
Teatr Bagatela,50.0630580,19.9325961,2419894822,2459143
Stary Kleparz,50.0662339,19.9386241,2420069703,2459143
Dworzec Główny,50.0647915,19.9444219,1027047776,2459143
Dworzec Główny Zachód,50.0678045,19.9453912,2424803961,2459143
Dworzec Towarowy,50.0759848,19.9402961,2420286330,2459143
Szpital Narutowicza,50.0806887,19.9379098,1951264398,2459143
Bratysławska,50.0837251,19.9341620,257656078,2459143
Krowodrza Górka,50.0885411,19.9320246,2423851561,2459143
Politechnika,50.0712261,19.9450640,2420519048,2459143
