Krowodrza Górka,50.0886756,19.9312467,257655889,3154922
Bratysławska,50.0846959,19.9335828,652730396,3154922
Szpital Narutowicza,50.0806532,19.9378802,652730395,3154922
Dworzec Towarowy,50.0759415,19.9403138,2420286329,3154922
Politechnika,50.0709589,19.9450491,2429438683,3154922
Dworzec Główny Zachód,50.0678231,19.9453496,2420153434,3154922
Dworzec Główny,50.0651525,19.9451520,2423481568,3154922
Poczta Główna,50.0598135,19.9424230,2420216112,3154922
Starowiślna,50.0569467,19.9449718,2419039772,3154922
Miodowa,50.0539340,19.9480787,2419106062,3154922
Św. Wawrzyńca,50.0511328,19.9510630,2419106073,3154922
Plac Bohaterów Getta,50.0466921,19.9550065,2419064240,3154922
Powstańców Wielkopolskich,50.0424354,19.9607129,2419775591,3154922
Cmentarz Podgórski,50.0390832,19.9644381,1890503349,3154922
Dworcowa,50.0334709,19.9702393,1890503312,3154922
Kabel,50.0272989,19.9764746,1890503305,3154922
Bieżanowska,50.0230600,19.9816801,1890503289,3154922
Wlotowa,50.0194336,19.9879379,1890503287,3154922
Prokocim,50.0175261,19.9911047,622594610,3154922
Prokocim Szpital,50.0144573,19.9988146,623520640,3154922
Teligi,50.0166448,20.0068419,623520694,3154922
Nowy Prokocim,50.0161183,20.0120318,623520704,3154922
Ćwiklińskiej,50.0160852,20.0191073,623562103,3154922
Nowy Bieżanów,50.0154125,20.0225810,287442350,3154922
