Rondo Grzegórzeckie,50.0575518,19.9577358,2420246141,6085559
Hala Targowa,50.0586812,19.9488242,2424088456,6085559
Starowiślna,50.0572586,19.9460278,2423003234,6085559
Stradom,50.0522511,19.9420570,2418610054,6085559
Orzeszkowej,50.0506694,19.9389434,2422680047,6085559
Szwedzka,50.0467329,19.9253466,957085219,6085559
Kapelanka,50.0449878,19.9220102,2422272345,6085559
Słomiana,50.0414239,19.9240926,2052183693,6085559
Kobierzyńska,50.0344108,19.9259533,2052183689,6085559
Borsucza,50.0305096,19.9285009,2421481610,6085559
Brożka NŻ,50.0304972,19.9318972,2421485635,6085559
Łagiewniki,50.0294996,19.9359338,2421493335,6085559
Teatr Variété,50.0588268,19.9623745,213592007,6085559
Francesco Nullo,50.0601765,19.9673814,213593828,6085559
Fabryczna,50.0602495,19.9712619,638606056,6085559
Ofiar Dąbia,50.0596288,19.9762713,213593804,6085559
Dąbie,50.0607308,19.9791276,638606061,6085559
Plaza,50.0630382,19.9839405,213597117,6085559
TAURON Arena Kraków Al. Pokoju n/ż,50.0644160,19.9900770,3623688655,6085559
M1 Al. Pokoju,50.0655023,19.9963239,2426058896,6085559
Rondo 308. Dywizjonu,50.0673980,20.0053735,213597071,6085559
Centralna,50.0694113,20.0127524,638606093,6085559
Rondo Czyżyńskie,50.0727944,20.0170870,3629965037,6085559
Os. Kolorowe,50.0723553,20.0285576,213602155,6085559
Plac Centralny im. R. Reagana,50.0717103,20.0354966,321437391,6085559
Os. Na Skarpie,50.0696984,20.0462360,773635778,6085559
Klasztorna,50.0684904,20.0529645,773635866,6085559
Suche Stawy,50.0675023,20.0590006,321437076,6085559
Bardosa NŻ,50.0678589,20.0657871,773635753,6085559
Kopiec Wandy,50.0682312,20.0691853,773635797,6085559
Centrum Kongresowe ICE,50.0485728,19.9309536,2422656435,6085559
