Krowodrza Górka,50.0886756,19.9312467,257655889,2465242
Bratysławska,50.0846959,19.9335828,652730396,2465242
Szpital Narutowicza,50.0806532,19.9378802,652730395,2465242
Dworzec Towarowy,50.0759415,19.9403138,2420286329,2465242
Politechnika,50.0709589,19.9450491,2429438683,2465242
Dworzec Główny Zachód,50.0678231,19.9453496,2420153434,2465242
Dworzec Główny,50.0651525,19.9451520,2423481568,2465242
Stary Kleparz,50.0662984,19.9396881,2420153432,2465242
Teatr Bagatela,50.0638069,19.9333775,470643346,2465242
Filharmonia,50.0591774,19.9330989,2419367401,2465242
Plac Wszystkich Świętych,50.0591156,19.9376313,2419768564,2465242
Poczta Główna,50.0593419,19.9418181,2419768566,2465242
Starowiślna,50.0569467,19.9449718,2419039772,2465242
Miodowa,50.0539340,19.9480787,2419106062,2465242
Św. Wawrzyńca,50.0511328,19.9510630,2419106073,2465242
Plac Bohaterów Getta,50.0466921,19.9550065,2419064240,2465242
Powstańców Wielkopolskich,50.0424354,19.9607129,2419775591,2465242
Cmentarz Podgórski,50.0390832,19.9644381,1890503349,2465242
Dworcowa,50.0334709,19.9702393,1890503312,2465242
Kabel,50.0272989,19.9764746,1890503305,2465242
Bieżanowska,50.0230600,19.9816801,1890503289,2465242
Wlotowa,50.0194336,19.9879379,1890503287,2465242
Prokocim,50.0175261,19.9911047,622594610,2465242
Prokocim Szpital,50.0144573,19.9988146,623520640,2465242
Teligi,50.0166448,20.0068419,623520694,2465242
Nowy Prokocim,50.0161183,20.0120318,623520704,2465242
Ćwiklińskiej,50.0160852,20.0191073,623562103,2465242
Nowy Bieżanów,50.0154125,20.0225810,287442350,2465242
