Walcownia,50.0897751,20.0836836,2431634768,3155984
Agencja Kraków Wschód NŻ,50.0878293,20.0796847,2431634766,3155984
Blokowa,50.0854874,20.0746701,1539953465,3155984
Mrozowa NŻ,50.0841098,20.0717182,1539953455,3155984
Kombinat,50.0798254,20.0658531,1770194212,3155984
Struga,50.0748997,20.0474943,2163355810,3155984
Plac Centralny im. R. Reagana,50.0717103,20.0354966,321437391,3155984
Os. Kolorowe,50.0723553,20.0285576,213602155,3155984
Centralna,50.0694113,20.0127524,638606093,3155984
Rondo 308. Dywizjonu,50.0673980,20.0053735,213597071,3155984
M1 Al. Pokoju,50.0655023,19.9963239,2426058896,3155984
Plaza,50.0630382,19.9839405,213597117,3155984
Dąbie,50.0607308,19.9791276,638606061,3155984
Ofiar Dąbia,50.0596288,19.9762713,213593804,3155984
Fabryczna,50.0602495,19.9712619,638606056,3155984
Francesco Nullo,50.0601765,19.9673814,213593828,3155984
Teatr Variété,50.0588268,19.9623745,213592007,3155984
Rondo Grzegórzeckie,50.0575518,19.9577358,2420246141,3155984
Hala Targowa,50.0586812,19.9488242,2424088456,3155984
Starowiślna,50.0572586,19.9460278,2423003234,3155984
Stradom,50.0522511,19.9420570,2418610054,3155984
Orzeszkowej,50.0506694,19.9389434,2422680047,3155984
Szwedzka,50.0467329,19.9253466,957085219,3155984
Kapelanka,50.0449878,19.9220102,2422272345,3155984
Słomiana,50.0414239,19.9240926,2052183693,3155984
Kobierzyńska,50.0344108,19.9259533,2052183689,3155984
Borsucza,50.0305096,19.9285009,2421481610,3155984
Brożka NŻ,50.0304972,19.9318972,2421485635,3155984
Łagiewniki,50.0294996,19.9359338,2421493335,3155984
Sanktuarium Bożego Miłosierdzia,50.0222871,19.9326845,629106148,3155984
Solvay,50.0168118,19.9298976,629106146,3155984
Borek Fałęcki I,50.0146050,19.9277901,629106144,3155984
Borek Fałęcki,50.0131702,19.9265527,2431859270,3155984
TAURON Arena Kraków Al. Pokoju n/ż,50.0644160,19.9900770,3623688655,3155984
Rondo Czyżyńskie,50.0727944,20.0170870,3629965037,3155984
Centrum Kongresowe ICE,50.0485728,19.9309536,2422656435,3155984
Łagiewniki ZUS,50.0245772,19.9339225,3661984748,3155984
