Bronowice Małe,50.0818084,19.8819253,2419986540,3169457
Balicka Wiadukt,50.0815243,19.8885959,2427984132,3169457
Wesele,50.0792305,19.8967624,2419959776,3169457
Bronowice,50.0777617,19.9006875,2428077846,3169457
Głowackiego,50.0758889,19.9058459,2419986542,3169457
Uniwersytet Pedagogiczny,50.0742583,19.9099941,2419986544,3169457
Biprostal,50.0730964,19.9150451,2419986539,3169457
Urzędnicza,50.0719637,19.9192502,2419986546,3169457
Plac Inwalidów,50.0695929,19.9258957,2419959767,3169457
Batorego,50.0670281,19.9288508,2427903882,3169457
Teatr Bagatela,50.0637373,19.9326155,2419959769,3169457
Stary Kleparz,50.0662339,19.9386241,2420069703,3169457
Dworzec Główny,50.0647915,19.9444219,1027047776,3169457
Poczta Główna,50.0598135,19.9424230,2420216112,3169457
Starowiślna,50.0569467,19.9449718,2419039772,3169457
Miodowa,50.0539340,19.9480787,2419106062,3169457
Św. Wawrzyńca,50.0511328,19.9510630,2419106073,3169457
Plac Bohaterów Getta,50.0466921,19.9550065,2419064240,3169457
Powstańców Wielkopolskich,50.0424354,19.9607129,2419775591,3169457
Cmentarz Podgórski,50.0390832,19.9644381,1890503349,3169457
Dworcowa,50.0334709,19.9702393,1890503312,3169457
Kabel,50.0272989,19.9764746,1890503305,3169457
Bieżanowska,50.0236404,19.9793901,2134334911,3169457
Dauna,50.0184067,19.9775190,2134334912,3169457
Piaski Nowe,50.0154830,19.9715857,2134334915,3169457
Nowosądecka,50.0134761,19.9646822,624406882,3169457
Witosa,50.0123437,19.9568375,289685344,3169457
Kurdwanów,50.0136054,19.9504081,289685340,3169457
