Czerwone Maki P+R,50.0179916,19.8890939,2017955951,3147285
Chmieleniec,50.0207618,19.8980390,2017952988,3147285
Kampus UJ,50.0247654,19.9020484,2420979795,3147285
Ruczaj,50.0272566,19.9060382,2421242341,3147285
Lipińskiego,50.0307287,19.9249910,2421317346,3147285
Kobierzyńska,50.0346305,19.9259736,2052183690,3147285
Słomiana,50.0408242,19.9245391,2052183691,3147285
Kapelanka,50.0450740,19.9220191,2052183688,3147285
Szwedzka,50.0467789,19.9255938,2418596863,3147285
Centrum Kongresowe ICE,50.0485659,19.9310383,630945148,3147285
Orzeszkowej,50.0505021,19.9379944,630945156,3147285
Stradom,50.0514795,19.9413350,2419768568,3147285
Starowiślna,50.0573091,19.9445456,2423003235,3147285
Poczta Główna,50.0592284,19.9425326,2424015724,3147285
Dworzec Główny,50.0641923,19.9449845,2420216111,3147285
Lubicz,50.0650488,19.9511035,2420200261,3147285
Rondo Mogilskie,50.0657653,19.9598677,1887812661,3147285
Cystersów,50.0665203,19.9705791,1768224650,3147285
TAURON Arena Kraków Wieczysta,50.0717726,19.9838195,1768224723,3147285
AWF,50.0739618,19.9987332,2163355802,3147285
Stella-Sawickiego,50.0742657,20.0046461,2163355809,3147285
Czyżyny,50.0739983,20.0113199,2163355804,3147285
Bieńczycka,50.0756920,20.0205717,2426068335,3147285
Rondo Kocmyrzowskie im. Ks. Gorzelanego,50.0802606,20.0265409,213644494,3147285
DH Wanda,50.0845504,20.0204914,213643707,3147285
Rondo Hipokratesa,50.0900802,20.0214207,213645106,3147285
Dunikowskiego,50.0922647,20.0159279,840467680,3147285
Kleeberga,50.0957637,20.0126917,840467685,3147285
Piasta Kołodzieja,50.0978326,20.0130120,213646585,3147285
Os. Piastów,50.1021105,20.0124519,2424134783,3147285
Muzeum Lotnictwa,50.0735101,19.9904418,4068126774,3147285
Rondo Czyżyńskie,50.0741876,20.0180287,3629965034,3147285
Norymberska,50.0301448,19.9131498,2418723932,3147285
Grota-Roweckiego,50.0316083,19.9211317,2846212107,3147285
Białucha,50.0678160,19.9779202,639603957,3147285
