Wzgórza Krzesławickie,50.0949232,20.0652148,213578451,1155971
Jarzębiny,50.0916212,20.0602506,1770978369,1155971
Darwina,50.0908137,20.0590919,1770978366,1155971
Wiadukty,50.0883571,20.0567365,2387955394,1155971
Wańkowicza,50.0869688,20.0474844,777395555,1155971
Cienista,50.0853912,20.0385224,213585855,1155971
Teatr Ludowy,50.0824060,20.0329435,213585864,1155971
Rondo Kocmyrzowskie im. Ks. Gorzelanego,50.0790506,20.0264899,213585881,1155971
Bieńczycka,50.0760748,20.0211983,2426068336,1155971
Czyżyny,50.0740361,20.0112874,2163355803,1155971
Stella-Sawickiego,50.0743017,20.0046383,213585922,1155971
AWF,50.0740353,19.9994566,213585931,1155971
TAURON Arena Kraków Wieczysta,50.0710634,19.9828213,639603980,1155971
Rondo Mogilskie,50.0660336,19.9586869,651848336,1155971
Dworzec Główny Tunel,50.0682455,19.9477349,276679066,1155971
Politechnika,50.0707439,19.9449088,2420153435,1155971
Dworzec Towarowy,50.0759848,19.9402961,2420286330,1155971
Szpital Narutowicza,50.0806887,19.9379098,1951264398,1155971
Bratysławska,50.0837251,19.9341620,257656078,1155971
Krowodrza Górka,50.0885411,19.9320246,2423851561,1155971
Cystersów,50.0665330,19.9690368,1768224656,1155971
Muzeum Lotnictwa,50.0735458,19.9904348,4068126775,1155971
Rondo Czyżyńskie,50.0735726,20.0160868,3629965035,1155971
Białucha,50.0676305,19.9772962,1768224703,1155971
