Plac Centralny im. R. Reagana,50.0717103,20.0354966,321437391,3171716
Os. Kolorowe,50.0723553,20.0285576,213602155,3171716
Centralna,50.0694113,20.0127524,638606093,3171716
Rondo 308. Dywizjonu,50.0673980,20.0053735,213597071,3171716
M1 Al. Pokoju,50.0655023,19.9963239,2426058896,3171716
Plaza,50.0630382,19.9839405,213597117,3171716
Dąbie,50.0607308,19.9791276,638606061,3171716
Ofiar Dąbia,50.0596288,19.9762713,213593804,3171716
Fabryczna,50.0602495,19.9712619,638606056,3171716
Francesco Nullo,50.0601765,19.9673814,213593828,3171716
Teatr Variété,50.0588268,19.9623745,213592007,3171716
Rondo Grzegórzeckie,50.0584493,19.9592292,2431530708,3171716
Rondo Mogilskie,50.0649719,19.9593504,1887802514,3171716
Lubicz,50.0651820,19.9522470,2420200262,3171716
Dworzec Główny,50.0646175,19.9456263,2420200260,3171716
Poczta Główna,50.0598135,19.9424230,2420216112,3171716
Orzeszkowej,50.0506694,19.9389434,2422680047,3171716
Centrum Kongresowe ICE,50.0485728,19.9309536,2422656435,3171716
Szwedzka,50.0467329,19.9253466,957085219,3171716
Kapelanka,50.0449878,19.9220102,2422272345,3171716
Słomiana,50.0414239,19.9240926,2052183693,3171716
Kobierzyńska,50.0344108,19.9259533,2052183689,3171716
Lipińskiego,50.0307649,19.9249792,2421317351,3171716
Norymberska,50.0298144,19.9122283,2421261471,3171716
Ruczaj,50.0269345,19.9051892,2421242332,3171716
Kampus UJ,50.0240483,19.9014789,2420979790,3171716
Chmieleniec,50.0203808,19.8975129,2017952992,3171716
Czerwone Maki P+R,50.0183937,19.8894451,2017955948,3171716
TAURON Arena Kraków Al. Pokoju n/ż,50.0644160,19.9900770,3623688655,3171716
Rondo Czyżyńskie,50.0727944,20.0170870,3629965037,3171716
Starowiślna,50.0569467,19.9449718,2419039772,3171716
Stradom,50.0522511,19.9420570,2418610054,3171716
Grota-Roweckiego,50.0318644,19.9202142,2846212108,3171716
