Krowodrza Górka,50.0886756,19.9312467,257655889,3154965
Bratysławska,50.0846959,19.9335828,652730396,3154965
Szpital Narutowicza,50.0806532,19.9378802,652730395,3154965
Dworzec Towarowy,50.0759415,19.9403138,2420286329,3154965
Politechnika,50.0707403,19.9448387,2424198631,3154965
Dworzec Główny Tunel,50.0682040,19.9477353,1888516300,3154965
Rondo Mogilskie,50.0657653,19.9598677,1887812661,3154965
Cystersów,50.0665203,19.9705791,1768224650,3154965
TAURON Arena Kraków Wieczysta,50.0717726,19.9838195,1768224723,3154965
AWF,50.0739618,19.9987332,2163355802,3154965
Stella-Sawickiego,50.0742657,20.0046461,2163355809,3154965
Czyżyny,50.0739983,20.0113199,2163355804,3154965
Bieńczycka,50.0756920,20.0205717,2426068335,3154965
Rondo Kocmyrzowskie im. Ks. Gorzelanego,50.0800713,20.0284129,2386355261,3154965
Teatr Ludowy,50.0818674,20.0320304,1769087965,3154965
Cienista,50.0849331,20.0377023,1769087786,3154965
Wańkowicza,50.0869378,20.0474920,1769088034,3154965
Wiadukty,50.0883471,20.0567935,604059116,3154965
Darwina,50.0907938,20.0591386,213578413,3154965
Jarzębiny,50.0919015,20.0607844,213578422,3154965
Wzgórza Krzesławickie,50.0945227,20.0650224,2426087293,3154965
Muzeum Lotnictwa,50.0735101,19.9904418,4068126774,3154965
Rondo Czyżyńskie,50.0741876,20.0180287,3629965034,3154965
Białucha,50.0678160,19.9779202,639603957,3154965
